Ano,Comunidad,Abulon,Langosta,SargazoRojo,Caracol,Pepino,SargazoGigante,ErizoRojo
1986,Isla Natividad,67.9,40,NA,NA,NA,NA,NA
1987,Isla Natividad,85.4,54.7,NA,NA,NA,NA,NA
1988,Isla Natividad,98.5,43.8,63.6,NA,NA,NA,NA
1989,Isla Natividad,100.8,54.7,7.4,NA,NA,NA,NA
1990,Isla Natividad,115.3,88.7,0.001,NA,NA,NA,NA
1991,Isla Natividad,109.7,70.7,17.7,NA,NA,NA,NA
1992,Isla Natividad,125.1,47.1,0.001,14.9,NA,NA,NA
1993,Isla Natividad,109.8,60.1,10.4,49.1,NA,NA,NA
1994,Isla Natividad,79.6,45.8,5.3,54.8,NA,NA,NA
1995,Isla Natividad,60,79.307,0,62.4,NA,NA,NA
1996,Isla Natividad,35.1,102.92,1.1,76.6,3.567,NA,NA
1997,Isla Natividad,35.1,127.538,3.8,32.1,11.758,NA,NA
1998,Isla Natividad,30.1,76.556,29.4,22.519,0,NA,NA
1999,Isla Natividad,25.8,57.341,31.9,35.3,4.444,NA,NA
2000,Isla Natividad,26.542,113.822,8.463,57.236,26.877,1.775,NA
2001,Isla Natividad,28.572,121.636,4.218,50.753,28.138,0.85,NA
2002,Isla Natividad,27.368,140.587,17.717,60.055,37.975,0,NA
2003,Isla Natividad,26.625,148.044,31.872,55.236,9.668,10.951,17.197
2004,Isla Natividad,26.533,124.235,25.661,47.048,45.234,11.765,60.337
2005,Isla Natividad,28.651,119.87,27.936,39.711,54.169,12,7.092
2006,Isla Natividad,27.963,132.843,24.462,39.741,27.237,12,34.406
2007,Isla Natividad,28.235,92.81,31.28,37.751,37.979,12,11.1
2008,Isla Natividad,27.414,143.641,22.414,31.123,49.966,12,7.879
2009,Isla Natividad,5.013,124.055,57.269,27.628,59.234,11.75,0
2010,Isla Natividad,5.323,75.542,4.301,39.69,39.402,8.25,0
2011,Isla Natividad,2.064,129.355,84.875,55.579,39.622,11,0
2012,Isla Natividad,0,183.371,26.152,61.741,52.677,12,0
2013,Isla Natividad,0,141.013,148.516,33.899,27.104,12,0
2014,Isla Natividad,0,166.986,114.108,37.081,208.992,12,0
